Date,Rank,Alpha,ISIN,Instrument,Primary,ICB Sub-Sector,Status,Free Float Pass,Liquidity Pass,Gross Market Capitalisation,ALSI Universe,Cumulative Market Capitalisation,ALSI Current,ALSI Change,ALSI New,Index Current,Index Change,Index New,TOPI Current,TOPI Change,TOPI New,DTOP Current,DTOP Change,DTOP New,RESI Current,RESI Change,RESI New,FINI Current,FINI Change,FINI New,INDI Current,INDI Change,INDI New,PCAP Current,PCAP Change,PCAP New,SAPY Current,SAPY Change,SAPY New,ALTI Universe,ALTI Current,ALTI Change,ALTI New,Board,Notes
2017-09-18 00:00:00.000,22,ACE,ZAE000115986,Accentuate Limited,NULL,2353,,TRUE,FALSE,"101877055,32",FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,ALTI,NULL,ALTI,ALTI,NULL
2017-09-18 00:00:00.000,6,ACG,ZAE000193389,Anchor Group Limited,NULL,8771,,TRUE,TRUE,"889880860,6",FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,ALTI,NULL,ALTI,ALTI,NULL
2017-09-18 00:00:00.000,132,ACL,ZAE000134961,ArcelorMittal SA Limited,NULL,1757,,TRUE,TRUE,"5667537928,5",TRUE,"0,981325459864708",ALSI,NULL,ALSI,MIDC,MIDC DEL; SMLC ADD,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2017-09-18 00:00:00.000,NULL,ACS,ZAE000198289,Acsion Limited,NULL,8633,,TRUE,FALSE,"3001695817,6",FALSE,0,FLED,NULL,FLED,"    ",NULL,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2017-09-18 00:00:00.000,157,ACT,ZAE000078416,AfroCentric Inv Corp Ltd,NULL,4533,,TRUE,TRUE,"3331807741,28",TRUE,"0,990730707783382",ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2017-09-18 00:00:00.000,107,ADH,ZAE000031035,ADvTECH Ltd,NULL,5377,,TRUE,TRUE,9145391304,TRUE,"0,965668776345861",ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2017-09-18 00:00:00.000,194,ADI,ZAE000113163,Adaptit Holdings Limited,NULL,9533,,TRUE,TRUE,1382372199,TRUE,"0,998159796179585",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2017-09-18 00:00:00.000,191,ADR,ZAE000000139,Adcorp Holdings Limited,NULL,2793,,TRUE,TRUE,"1538265903,25",TRUE,"0,99778585463602",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2017-09-18 00:00:00.000,28,ADW,ZAE000223194,African Dawn Capital Ltd,NULL,8773,,TRUE,TRUE,"7673769,95",FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,ALTI,NULL,ALTI,ALTI,NULL
2017-09-18 00:00:00.000,NULL,AEE,ZAE000195731,African Equity Emp Inv Ltd,NULL,8775,,TRUE,FALSE,"1645987103,9",FALSE,0,FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
